Date,UtzSpend,UtzImpressions,ZappsSpend,ZappsImpressions,OTBSpend,OTBImpressions,BCSpend,BCImpressions
2021|31,2258,126598,0,0,0,0,0,0
2021|32,13604,662571,0,0,0,0,0,0
2021|33,13092,606595,0,0,0,0,0,0
2021|34,13021,631013,0,0,0,0,0,0
2021|35,12819,670738,0,0,0,0,0,0
2021|36,12669,732725,0,0,0,0,0,0
2021|37,6111,377834,0,0,0,0,0,0
2022|33,2714,475875,0,0,0,0,0,0
2022|34,5931,1065401,0,0,0,0,0,0
2022|35,6511,1261387,0,0,0,0,0,0
2022|36,7210,1238341,0,0,0,0,0,0
2022|37,7383,1371029,0,0,0,0,0,0
2022|38,6807,1133955,0,0,0,0,0,0
2022|39,7268,887882,0,0,0,0,0,0
2022|40,8504,1025682,0,0,0,0,0,0
2022|41,817,131884,0,0,0,0,0,0
2023|01,1341,171573,501,69254,1242,87317,0,0
2023|02,8577,888423,2851,302785,2995,197916,0,0
2023|03,10188,925378,1846,177445,1989,146557,0,0
2023|04,10415,841297,1407,148015,1503,116837,0,0
2023|05,9302,750431,2079,207816,1634,142185,0,0
2023|06,8171,677095,1585,164342,1976,161295,0,0
2023|07,8134,674485,2437,196892,1854,140097,0,0
2023|08,8345,662502,2344,236650,2186,145786,0,0
2023|09,9192,720774,1381,136749,1825,117154,0,0
2023|10,7619,737825,850,86796,2093,125096,0,0
2023|11,7269,797929,837,87189,1954,122572,0,0
2023|12,4241,410754,831,90145,1932,115034,0,0
2023|13,3119,302510,865,101397,1282,80890,0,0
2023|14,3435,319581,789,88383,1795,111909,0,0
2023|15,3581,303403,840,84616,1987,117878,0,0
2023|16,4617,394912,790,82055,1774,106968,0,0
2023|17,6656,538858,988,100973,1913,141767,0,0
2023|18,7151,586612,1027,106453,1899,104691,0,0
2023|19,7965,700523,1031,93116,1903,115506,0,0
2023|20,8133,689591,1069,109605,1894,100775,0,0
2023|21,8091,604095,1036,111867,1910,109463,0,0
2023|22,8121,516138,3383,263739,6232,415474,0,0
2023|23,9112,599471,1128,101319,7740,471315,0,0
2023|24,8814,542682,1134,99100,7681,408391,0,0
2023|25,9386,553350,1174,99991,7871,425708,0,0
2023|26,12786,699222,8451,409128,9799,449471,0,0
2023|27,16366,1021503,6627,315654,8796,446125,0,0
2023|28,14465,990756,1789,97217,7133,397628,0,0
2023|29,13254,931148,1736,101099,6920,406404,0,0
2023|30,13980,922576,2411,180947,4054,220420,0,0
2023|31,13323,914547,5962,446229,6757,362455,0,0
2023|32,14533,1029859,7252,496312,7098,373272,0,0
2023|33,11475,700584,7270,413942,6902,368129,0,0
2023|34,7892,454904,0,0,7388,347691,0,0
2023|35,6923.6,438957,3412.92,185329,5484.57,316392,0,0
2023|36,12136.63,845490,6063.24,432144,8061.87,488680,0,0
2023|37,11925.1,832349,7764.74,630665,7704.62,468835,0,0
2023|38,12650.05,808578,2918.4,238304,7653.59,444120,0,0
2023|39,9714.11,570256,1374.52,70905,7392.81,427151,0,0
2023|40,14690.02,852587,8005.7,552827,7760.37,370941,0,0
2023|41,16143.38,1077651,15738.7,880452,7612.5,436959,0,0
2023|42,15431.02,1049831,26440.18,1168178,7615.45,488349,0,0
2023|43,24951.63,1691326,30323.65,1122629,8344.09,628757,0,0
2023|44,36141.26,2367648,33860.3,1325794,8646.82,606495,0,0
2023|45,32207.44,2003255,8022.68,681093,7803.25,484584,0,0
2023|46,32056.82,1979981,5820.21,506074,8529.41,418768,0,0
2023|47,29120.28,1824689,6327.71,416578,7920.35,345790,0,0
2023|48,27981.42,1690432,7528.6,622547,7683.14,348312,0,0
2023|49,26228.29,1536749,8269.64,687571,8596.96,418054,0,0
2023|50,25345.77,1501353,8283.44,562741,9103.43,370696,0,0
2023|51,25469.37,1387287,8951.97,599117,12398.47,515343,0,0
2023|52,25713.34,1762173,7947.59,560778,25970.79,1820935,0,0
2024|01,44207.16,3289078,8061.36,711952,16275.54,1314891,0,0
2024|02,11164.28,741725,7880.59,711428,14704.57,929190,0,0
2024|03,7839.71,576888,7695.95,740260,3781.85,264901,0,0
2024|04,7057.19,498474,7224.89,665056,1315.17,86208,0,0
2024|05,44207.16,3289078,8061.36,711952,1260.49,104262,0,0
2024|06,11164.28,741725,7880.59,711428,4593.61,297063,12645.13,678997
2024|07,9041.91,683634,7695.95,740260,6373.33,695463,1.54,39
2024|08,8455.18,631548,7224.89,665056,6058.41,551090,1870.81,83056
2024|09,74799.74,6172698,7514.06,761059,4917.85,408494,11747.98,453116
2024|10,78850.84,7015696,15642.24,1743841,22236.71,1904728,17386.75,1049525
2024|11,67061.31,5414423,7642.21,766253,22348.88,1598366,6042.77,393639
2024|12,70182.28,5433267,6014.06,709906,22058.27,1409210,5012.62,365793
2024|13,63464.72,5148592,5513.16,694428,21100.86,1368544,4649.58,380570
2024|14,4007.72,272311,3768.23,399333,2832.04,177391,6195.23,420344
2024|15,3538.89,221489,3647.55,372648,2789.79,183943,6322.36,427121
2024|16,2854.9,199585,3516.28,382023,2311.13,135856,6116.69,393324
2024|17,4207.18,280009,5646.78,646470,2081.16,124783,5497.36,333504
2024|18,9091.78,564102,5948.12,663416,2115.13,91683,5937.37,369983
2024|19,6320.27,416367,4179.09,406205,2657.71,120169,6983.24,437804
2024|20,8793.42,626448,5186.13,547958,2651.3,80894,7039.47,497172
2024|21,13122.31,905470,7900.63,852699,8339.98,282182,9331.54,844876
2024|22,13081.18,820156,6770.27,684289,10245.24,353817,11630.23,1105359
2024|23,65181.73,4102687,9389.63,1088780,20444.07,1141237,9346,983713
2024|24,75300.34,5241153,10585.5,1093358,27141.37,1742160,8468.71,867400
2024|25,84976.8,6315184,11250.59,1067785,34687.77,2854648,7205.53,690435
2024|26,78711.85,5884019,11923.58,1008985,34554.01,2112311,8330.48,757717
2024|27,47398.92,3540147,8503.1,725899,11796.29,500713,10625.97,952240
2024|28,9381.66,768700,5752.31,517596,3004.34,95900,9385.67,813216
2024|29,292,18202,5298.04,460859,2147.93,71256,10156.5,841686
2024|30,398.43,19760,4889.1,387897,1888.07,55044,9239.48,743978
2024|31,3892.97,266253,7477.6,730585,3643.17,123250,8351.14,771271
2024|32,8619.82,473219,2997.2,196210,7311.17,199296,6657.58,533079
2024|33,8554.04,443399,2947.37,189537,7137.53,205624,6460.71,525031
2024|34,18731.02,801072,2824.44,201547,10981.54,385445,6893.5,503717
2024|35,30702.82,1386920,2548.68,162419,12729.98,406664,5623.06,370984
